,,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedlings,,,
elk,NM,LL,6,,,,,98,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
elk,CLB,LL,1,,,2,,,,24,,,,,1,,,,,,3,,,,,,,,,,,,,,,38,,,,3,,,,2,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,37,,,,,
elk,CLB,LL,2,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,73,,,,,,,,53,,,,,,,,20,,,,,,,,,,7,,8,,,,,,,,,,,,,,,,,,2,,,,,
elk,CLB,LL,3,,,,,1,,3,,,,,,,,,,,3,,,,,,,,,,,,6,,,85,,,,,,,,23,,,,,,,,,,,,,,,,,,5,,8,,,,,,,,,,,1,,,,,,,2,,,,,
elk,CLB,SD,1,,,,,26,,,,,,,31,,,,,,2,,,,,,,,,,,,4,,,53,,,,,,,,20,,,,,,,,3,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,2,,,,,
elk,CLB,SD,2,,,1,,,,2,,,1,,2,,,,,,1,,,,,,,,,,,,3,,,87,,,,,,,,27,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,1,,,4,,,,4,,,,,
elk,CLB,SD,3,,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,1,,,,86,,,,,,,,36,,,,,,,,,,7,,,,,,,,2,,,,,,,,,,,,,,,,,,,,6,,,,,
elk,CLC,LL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,CLC,LL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,CLC,LL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elk,NM,SD,1,,,,,94,,,,,,,1,,,,,,27,,,,,,,,,1,,,,,,9,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
elk,NM,SD,2,,,3,,25,8,,,,,,7,,,,,,33,,,,,,,,,1,,,,,,32,,,,,,,,23,,,,,,,,8,,,,,,,,,,3,,1,,,,,,,,,,,7,,,3,,,,,,,,,
elk,NM,SD,3,,,,,59,,,,,,,20,,,,,,23,,,,,,,,,,,,2,,,15,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,
elk,CONTROL,,1,,,,,28,,,,,,,39,,,,,,4,,,,,,,,,1,,,,,,31,,,,6,,,,1,,,,,,,,10,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,29,,,,,
elk,CONTROL,,2,,,,,18,,28,,,,,12,,,,,,9,,,,,,,,,,,,,,,19,,,,2,,,,11,,,,,,,,3,,,,,,,,,,,,30,,,,,,,,1,,,10,,,,,,,4,,,,,
elk,CONTROL,,3,,,,,14,,85,,,,,9,,,,,,1,,,,,,,,,1,,,,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,9,,,,,
elk,GRAZED,,1,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,1,5,,,81,,,,1,,,,11,,,,,,,1,,,32,,,,,,,,11,,,,,,,,,,,,,,,,8,,,,,,,,,
elk,GRAZED,,2,,,,,7,2,2,,,3,,3,,,,,,,,,,,,,,,,,,,1,,88,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
elk,GRAZED,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,27,,,,,,,,,,33,,,,,,,,5,,,,,,,,,,,,,,,,20,,,,,,,,,
