Species_Name,Genus,Species,Family,Native.Exotic,Grass.Forb.Shrub,Annual.Perennial,Monocot.Dicot
Galium aparine,Galium,aparine,Rubiaceae,Native,Forb,Annual,dicot
Galium murale,Galium,murale,Rubiaceae,Exotic,Forb,Annual,dicot
Galium porrigens,Galium,porrigens,Rubiaceae,Native,Shrub,Perennial,dicot
Geranium dissectum,Geranium,dissectum,Geraniaceae,Exotic,Forb,Annual,dicot
Geranium molle,Geranium,molle,Geraniaceae,Exotic,Forb,Annual,dicot
Gilia capitata,Gilia,capitata,Polemoniaceae,Native,Forb,Annual,dicot
Gilia tricolor,Gilia,tricolor,Polemoniaceae,Native,Forb,Annual,dicot
Githopsis specularioides,Githopsis,specularioides,Campanulaceae,Native,Forb,Annual,dicot
Gnaphalium californicum,Gnaphalium,californicum,Asteraceae,Native,Forb,Perennial,dicot
Grindelia camporum,Grindelia,camporum,Asteraceae,Native,Forb,Perennial,dicot
Helianthella californica,Helianthella,californica,Asteraceae,Native,Forb,Perennial,dicot
Helianthus exilis,Helianthus,exilis,Asteraceae,Native,Forb,Annual,dicot
Hemizonia congesta,Hemizonia,congesta,Asteraceae,Native,Forb,Annual,dicot
Hesperevax sparsiflora,Hesperevax,sparsiflora,Asteraceae,Native,Forb,Annual,dicot
Hesperolinon californicum,Hesperolinon,californicum,Linaceae,Native,Forb,Annual,dicot
Hesperolinon disjunctum,Hesperolinon,disjunctum,Linaceae,Native,Forb,Annual,dicot
Hesperolinon micranthum,Hesperolinon,micranthum,Linaceae,Native,Forb,Annual,dicot
Hieracium albiflorum,Hieracium,albiflorum,Asteraceae,Native,Forb,Perennial,dicot
Holocarpha virgata,Holocarpha,virgata,Asteraceae,Native,Forb,Annual,dicot
Holodiscus discolor,Holodiscus,discolor,Rosaceae,Native,Shrub,Perennial,dicot
Hypochaeris glabra,Hypochaeris,glabra,Asteraceae,Exotic,Forb,Annual,dicot
Hypochaeris radicata,Hypochaeris,radicata,Asteraceae,Exotic,Forb,Perennial,dicot
Lactuca serriola,Lactuca,serriola,Asteraceae,Exotic,Forb,Annual,dicot
Lagophylla minor,Lagophylla,minor,Asteraceae,Native,Forb,Annual,dicot
Lasthenia californica,Lasthenia,californica,Asteraceae,Native,Forb,Annual,dicot
Lathyrus vestitus,Lathyrus,vestitus,Fabaceae,Native,Forb,Perennial,dicot
Layia platyglossa,Layia,platyglossa,Asteraceae,Native,Forb,Annual,dicot
Layia septentrionalis,Layia,septentrionalis,Asteraceae,Native,Forb,Annual,dicot
Lepidium nitidum,Lepidium,nitidum,Brassicaceae,Native,Forb,Annual,dicot
Lessingia ramulosa,Lessingia,ramulosa,Asteraceae,Native,Forb,Annual,dicot
Linanthus bicolor,Linanthus,bicolor,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus ciliatus,Linanthus,ciliatus,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus dichotomus,Linanthus,dichotomus,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus jepsonii,Linanthus,jepsonii,Polemoniaceae,Native,Forb,Annual,dicot
Linanthus latisectus,Linanthus,latisectus,Polemoniaceae,Native,Forb,Annual,dicot
Lithophragma heterophyllum,Lithophragma,heterophyllum,Saxifragaceae,Native,Forb,Perennial,dicot
Lomatium dasycarpum,Lomatium,dasycarpum,Apiaceae,Native,Forb,Perennial,dicot
Lomatium macrocarpum,Lomatium,macrocarpum,Apiaceae,Native,Forb,Perennial,dicot
Lomatium marginatum,Lomatium,marginatum,Apiaceae,Native,Forb,Perennial,dicot
Lomatium utriculatum,Lomatium,utriculatum,Apiaceae,Native,Forb,Perennial,dicot
Lotus humistratus,Lotus,humistratus,Fabaceae,Native,Forb,Annual,dicot
Lotus micranthus,Lotus,micranthus,Fabaceae,Native,Forb,Annual,dicot
Lotus purshianus,Lotus,purshianus,Fabaceae,Native,Forb,Annual,dicot
Lotus wrangelianus,Lotus,wrangelianus,Fabaceae,Native,Forb,Annual,dicot
Lupinus albifrons,Lupinus,albifrons,Fabaceae,Native,Shrub,Perennial,dicot
Lupinus bicolor,Lupinus,bicolor,Fabaceae,Native,Forb,Annual,dicot
Lupinus microcarpus,Lupinus,microcarpus,Fabaceae,Native,Forb,Annual,dicot
Lupinus succulentus,Lupinus,succulentus,Fabaceae,Native,Forb,Annual,dicot
Madia elegans,Madia,elegans,Asteraceae,Native,Forb,Annual,dicot
Madia exigua,Madia,exigua,Asteraceae,Native,Forb,Annual,dicot
Madia gracilis,Madia,gracilis,Asteraceae,Native,Forb,Annual,dicot
Medicago polymorpha,Medicago,polymorpha,Fabaceae,Exotic,Forb,Annual,dicot
Melilotus indica,Melilotus,indica,Fabaceae,Exotic,Forb,Annual,dicot
Micropus californicus,Micropus,californicus,Asteraceae,Native,Forb,Annual,dicot
Microseris douglasii,Microseris,douglasii,Asteraceae,Native,Forb,Annual,dicot
Mimulus androsaceus,Mimulus,androsaceus,Scrophulariaceae,Native,Forb,Annual,dicot
Mimulus douglasii,Mimulus,douglasii,Scrophulariaceae,Native,Forb,Annual,dicot
Mimulus guttatus,Mimulus,guttatus,Scrophulariaceae,Native,Forb,Annual,dicot
Minuartia californica,Minuartia,californica,Caryophyllaceae,Native,Forb,Annual,dicot
Minuartia douglasii,Minuartia,douglasii,Caryophyllaceae,Native,Forb,Annual,dicot
Navarretia jepsonii,Navarretia,jepsonii,Polemoniaceae,Native,Forb,Annual,dicot
Navarretia pubescens,Navarretia,pubescens,Polemoniaceae,Native,Forb,Annual,dicot
Navarretia tagetina,Navarretia,tagetina,Polemoniaceae,Native,Forb,Annual,dicot
Navarretia viscidula,Navarretia,viscidula,Polemoniaceae,Native,Forb,Annual,dicot
Nemophila heterophylla,Nemophila,heterophylla,Hydrophyllaceae,Native,Forb,Annual,dicot
Nemophila menziesii,Nemophila,menziesii,Hydrophyllaceae,Native,Forb,Annual,dicot
Nemophila pedunculata,Nemophila,pedunculata,Boraginaceae,Native,Forb,Annual,dicot
Pectocarya pusilla,Pectocarya,pusilla,Boraginaceae,Native,Forb,Annual,dicot
Perideridia kelloggii,Perideridia,kelloggii,Apiaceae,Native,Forb,Perennial,dicot
Petrorhagia prolifera,Petrorhagia,prolifera,Caryophyllaceae,Exotic,Forb,Annual,dicot
Phacelia imbricata,Phacelia,imbricata,Hydrophyllaceae,Native,Forb,Perennial,dicot
Phlox gracilis,Phlox,gracilis,Polemoniaceae,Native,Forb,Annual,dicot
Plagiobothrys nothofulvus,Plagiobothrys,nothofulvus,Boraginaceae,Native,Forb,Annual,dicot
Plantago erecta,Plantago,erecta,Plantaginaceae,Native,Forb,Annual,dicot
Plectritis ciliosa,Plectritis,ciliosa,Valerianaceae,Native,Forb,Annual,dicot
Quercus douglasii,Quercus,douglasii,Fagaceae,Native,Tree,Perennial,dicot
Quercus durata,Quercus,durata,Fagaceae,Native,Shrub,Perennial,dicot
Quercus lobata,Quercus,lobata,Fagaceae,Native,Shrub,Perennial,dicot
Ranunculus californicus,Ranunculus,californicus,Ranunculaceae,Native,Forb,Perennial,dicot
Ranunculus occidentalis,Ranunculus,occidentalis,Ranunculaceae,Native,Forb,Perennial,dicot
Rigiopappus leptocladus,Rigiopappus,leptocladus,Asteraceae,Native,Forb,Annual,dicot
Rumex crispus,Rumex,crispus,Polygonaceae,Exotic,Forb,Annual,dicot
Sagina apetala,Sagina,apetala,Caryophyllaceae,Native,Forb,Annual,dicot
Salvia columbariae,Salvia,columbariae,Lamiaceae,Native,Shrub,Perennial,dicot
Sanicula bipinnata,Sanicula,bipinnata,Apiaceae,Native,Forb,Perennial,dicot
Sanicula bipinnatifida,Sanicula,bipinnatifida,Apiaceae,Native,Forb,Perennial,dicot
Sanicula crassicaulis,Sanicula,crassicaulis,Apiaceae,Native,Forb,Perennial,dicot
Scutellaria siphocampyloides,Scutellaria,siphocampyloides,Lamiaceae,Native,Forb,Perennial,dicot
Senecio eurycephalus,Senecio,eurycephalus,Asteraceae,Native,Forb,Perennial,dicot
Senecio vulgaris,Senecio,vulgaris,Asteraceae,Exotic,Forb,Annual,dicot
Sidalcea diploscypha,Sidalcea,diploscypha,Malvaceae,Native,Forb,Annual,dicot
Silene gallica,Silene,gallica,Caryophyllaceae,Exotic,Forb,Annual,dicot
Sisymbrium officinale,Sisymbrium,officinale,Brassicaceae,Exotic,Forb,Annual,dicot
Stellaria media,Stellaria,media,Caryophyllaceae,Exotic,Forb,Annual,dicot
Stellaria nitens,Stellaria,nitens,Caryophyllaceae,Native,Forb,Annual,dicot
Streptanthus breweri,Streptanthus,breweri,Brassicaceae,Native,Forb,Annual,dicot
Thermopsis macrophylla,Thermopsis,macrophylla,Fabaceae,Native,Forb,Perennial,dicot
Thysanocarpus curvipes,Thysanocarpus,curvipes,Brassicaceae,Native,Forb,Annual,dicot
Torilis arvensis,Torilis,arvensis,Apiaceae,Exotic,Forb,Annual,dicot
Torilis nodosa,Torilis,nodosa,Apiaceae,Exotic,Forb,Annual,dicot
Tragopogon dubius,Tragopogon,dubius,Asteraceae,Exotic,Forb,Annual,dicot
Trichostema laxum,Trichostema,laxum,Lamiaceae,Native,Forb,Annual,dicot
Trifolium albopurpureum,Trifolium,albopurpureum,Fabaceae,Native,Forb,Annual,dicot
Trifolium bifidum,Trifolium,bifidum,Fabaceae,Native,Forb,Annual,dicot
Trifolium ciliolatum,Trifolium,ciliolatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium depauperatum,Trifolium,depauperatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium dubium,Trifolium,dubium,Fabaceae,Exotic,Forb,Annual,dicot
Trifolium fucatum,Trifolium,fucatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium gracilentum,Trifolium,gracilentum,Fabaceae,Native,Forb,Annual,dicot
Trifolium hirtum,Trifolium,hirtum,Fabaceae,Exotic,Forb,Annual,dicot
Trifolium microcephalum,Trifolium,microcephalum,Fabaceae,Native,Forb,Annual,dicot
Trifolium microdon,Trifolium,microdon,Fabaceae,Native,Forb,Annual,dicot
Trifolium obtusiflorum,Trifolium,obtusiflorum,Fabaceae,Native,Forb,Annual,dicot
Trifolium variegatum,Trifolium,variegatum,Fabaceae,Native,Forb,Annual,dicot
Trifolium willdenovii,Trifolium,willdenovii,Fabaceae,Native,Forb,Annual,dicot
Triphysaria eriantha,Triphysaria,eriantha,Scrophulariaceae,Native,Forb,Annual,dicot
Triphysaria versicolor,Triphysaria,versicolor ssp. faucibarbata,Scrophulariaceae,Native,Forb,Annual,dicot
Uropappus lindleyi,Uropappus,lindleyi,Asteraceae,Native,Forb,Annual,dicot
Velezia rigida,Velezia,rigida,Caryophyllaceae,Exotic,Forb,Annual,dicot
Vicia villosa,Vicia,villosa,Fabaceae,Exotic,Forb,Annual,dicot
Viola douglasii,Viola,douglasii,Violaceae,Native,Forb,Perennial,dicot
Wyethia glabra,Wyethia,glabra,Asteraceae,Native,Forb,Perennial,dicot
Pinus sabiniana,Pinus,sabiniana,Pinaceae,Native,Tree,Perennial,gymnosperm
Aegilops triuncialis,Aegilops,triuncialis,Poaceae,Exotic,Grass,Annual,monocot
Aira caryophyllea,Aira,caryophyllea,Poaceae,Exotic,Grass,Annual,monocot
Allium amplectens,Allium,amplectens,Liliaceae,Native,Forb,Perennial,monocot
Allium falcifolium,Allium,falcifolium,Liliaceae,Native,Forb,Perennial,monocot
Allium fimbriatum,Allium,fimbriatum,Liliaceae,Native,Forb,Perennial,monocot
Allium serra,Allium,serra,Liliaceae,Native,Forb,Perennial,monocot
Avena fatua,Avena,fatua,Poaceae,Exotic,Grass,Annual,monocot
Briza minor,Briza,minor,Poaceae,Exotic,Grass,Annual,monocot
Brodiaea elegans,Brodiaea,elegans,Liliaceae,Native,Forb,Perennial,monocot
Bromus carinatus,Bromus,carinatus,Poaceae,Native,Grass,Perennial,monocot
Bromus diandrus,Bromus,diandrus,Poaceae,Exotic,Grass,Annual,monocot
Bromus hordeaceus,Bromus,hordeaceus,Poaceae,Exotic,Grass,Annual,monocot
Bromus japonicus,Bromus,japonicus,Poaceae,Exotic,Grass,Annual,monocot
Bromus laevipes,Bromus,laevipes,Poaceae,Native,Grass,Perennial,monocot
Bromus madritensis,Bromus,madritensis,Poaceae,Exotic,Grass,Annual,monocot
Bromus tectorum,Bromus,tectorum,Poaceae,Exotic,Grass,Annual,monocot
Calochortus luteus,Calochortus,luteus,Liliaceae,Native,Forb,Perennial,monocot
Calochortus superbus,Calochortus,superbus,Liliaceae,Native,Forb,Perennial,monocot
Calochortus vestae,Calochortus,vestae,Liliaceae,Native,Forb,Perennial,monocot
Chlorogalum pomeridianum,Chlorogalum,pomeridianum,Liliaceae,Native,Forb,Perennial,monocot
Cynosurus echinatus,Cynosurus,echinatus,Poaceae,Exotic,Grass,Annual,monocot
Dactylis glomerata,Dactylis,glomerata,Poaceae,Exotic,Grass,Perennial,monocot
Dichelostemma capitatum,Dichelostemma,capitatum,Liliaceae,Native,Forb,Perennial,monocot
Elymus elymoides,Elymus,elymoides,Poaceae,Native,Grass,Perennial,monocot
Elymus glaucus,Elymus,glaucus,Poaceae,Native,Grass,Perennial,monocot
Elytrigia repens,Elytrigia,repens,Poaceae,Exotic,Grass,Perennial,monocot
Fritillaria pluriflora,Fritillaria,pluriflora,Liliaceae,Native,Forb,Perennial,monocot
Gastridium ventricosum,Gastridium,ventricosum,Poaceae,Exotic,Grass,Annual,monocot
Hordeum brachyantherum,Hordeum,brachyantherum,Poaceae,Native,Grass,Perennial,monocot
Hordeum depressum,Hordeum,depressum,Poaceae,Native,Grass,Annual,monocot
Hordeum marinum,Hordeum,marinum,Poaceae,Exotic,Grass,Annual,monocot
Hordeum murinum,Hordeum,murinum,Poaceae,Exotic,Grass,Annual,monocot
Iris douglasiana,Iris,douglasiana,Iridaceae,Native,Forb,Perennial,monocot
Juncus bufonius,Juncus,bufonius,Juncaceae,Native,Graminoid,Annual,monocot
Juncus sp.,Juncus,,Juncaceae,Native,Graminoid,Annual,monocot
Lolium multiflorum,Lolium,multiflorum,Poaceae,Exotic,Grass,Annual,monocot
Melica californica,Melica,californica,Poaceae,Native,Grass,Perennial,monocot
Melica imperfecta,Melica,imperfecta,Poaceae,Native,Grass,Annual,monocot
Melica torreyana,Melica,torreyana,Poaceae,Native,Grass,Perennial,monocot
Nassella pulchra,Nassella,pulchra,Poaceae,Native,Grass,Perennial,monocot
Phalaris paradoxa,Phalaris,paradoxa,Poaceae,Exotic,Grass,Annual,monocot
Poa annua,Poa,annua,Poaceae,Exotic,Grass,Annual,monocot
Poa bulbosa,Poa,bulbosa,Poaceae,Exotic,Grass,Annual,monocot
Poa secunda,Poa,secunda,Poaceae,Native,Grass,Perennial,monocot
Polypogon monspeliensis,Polypogon,monspeliensis,Poaceae,Native,Grass,Annual,monocot
Sisyrinchium bellum,Sisyrinchium,bellum,Iridaceae,Native,Forb,Perennial,monocot
Taeniatherum caput-medusae,Taeniatherum,caput-medusae,Poaceae,Exotic,Grass,Annual,monocot
Triteleia hyacinthina,Triteleia,hyacinthina,Liliaceae,Native,Forb,Perennial,monocot
Triteleia laxa,Triteleia,laxa,Liliaceae,Native,Forb,Perennial,monocot
Vulpia bromoides,Vulpia,bromoides,Poaceae,Exotic,Grass,Annual,monocot
Vulpia microstachys,Vulpia,microstachys,Poaceae,Native,Grass,Annual,monocot
Vulpia myuros,Vulpia,myuros,Poaceae,Exotic,Grass,Annual,monocot
Vulpia octoflora,Vulpia,octoflora,Poaceae,Native,Grass,Annual,monocot
Zigadenus fremontii,Zigadenus,fremontii,Liliaceae,Native,Forb,Perennial,monocot
Stephanomeria sp.,Stephanomeria,,,Native,Forb,Perennial,monocot
Bare,,,,Bare,,,
Rock,,,,Rock,,,
